arm,scenario,model_key,seed,parameter_count,parameter_bytes,train_steps,declared_train_steps,train_steps_match_declared,num_updates,num_rounds_logged,cloud_bytes,edge_local_bytes,total_bytes,cloud_megabytes,edge_local_megabytes,total_megabytes,num_transfers,eval_action_histogram_entropy,mean_action_histogram_entropy,mean_background_fairness,mean_collision_rate,mean_episode_return,mean_eval_return,mean_mean_dt,mean_num_background_users_mean,mean_policy_entropy_nats,mean_sim_time,mean_spectrum_utilization,mean_steps,mean_success_rate,num_eval_episodes,std_action_histogram_entropy,std_background_fairness,std_collision_rate,std_episode_return,std_mean_dt,std_num_background_users_mean,std_policy_entropy_nats,std_sim_time,std_spectrum_utilization,std_steps,std_success_rate,max_first_epoch_ratio_deviation,final_round_mean_policy_loss,final_round_mean_value_loss,final_round_mean_entropy,final_round_mean_rollout_return,config_clients_per_edge,config_cloud_rounds,config_device,config_edge_rounds_per_cloud_round,config_eval_episodes,config_flat_rounds,config_horizon,config_local_num_envs,config_local_phases_per_client,config_local_steps,config_model_key,config_num_clients,config_num_edges,config_scenario,config_total_env_steps_per_arm,wall_seconds
centralized,non_stationary,ppo_ltc_cfc,499,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9066676913752576,0.6796875,-59.43437723067035,-59.43437723067035,1.0,4.0,1.488849399436731,64.0,0.12433504856087604,64.0,0.3203125,32.0,0.0,0.06942597203086491,0.1591527249020575,27.384980182932892,0.0,0.0,8.548372884439804e-05,0.0,0.06824911882573179,0.0,0.1591527249020575,7.152557373046875e-07,-0.0015443958109244704,58.76021862030029,1.4929729948441188,-62.12835693359375,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,211.878642175001
centralized,non_stationary,ppo_ltc_cfc,601,39825,159300,36864,36864,True,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.880127022652269,0.6923828125,-62.01111270663812,-62.01111270663812,1.0,4.0,1.9603699255967513,64.0,0.11885632218064027,64.0,0.3076171875,32.0,0.0,0.0862467519419553,0.14081137280916745,25.81569597122797,0.0,0.0,0.0001130130367523698,0.0,0.06102804025129276,0.0,0.14081137280916745,9.5367431640625e-07,-0.0035900797617311278,70.30301809310913,1.9596517384052277,-66.95050811767578,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,219.1873003820001
flat_federated,non_stationary,ppo_ltc_cfc,7,39825,159300,36864,36864,True,48,6,16567200.0,0.0,16567200.0,16.5672,0.0,16.5672,104.0,0.0,0.0,0.905184611917043,0.7041015625,-63.80846319177524,-63.80846319177524,1.0,4.0,2.0476511467713863,64.0,0.11364057291775717,64.0,0.2958984375,32.0,0.0,0.060849502955769755,0.15093183360708268,26.894991065191913,0.0,0.0,4.664212062566714e-05,0.0,0.06171094572982492,0.0,0.15093183360708268,4.76837158203125e-07,-0.007773932895361213,86.67255508899689,2.039068183551232,-62.03450965881348,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,215.94835949000117
flat_federated,non_stationary,ppo_ltc_cfc,19,39825,159300,36864,36864,True,48,6,16567200.0,0.0,16567200.0,16.5672,0.0,16.5672,104.0,0.07490816878546264,0.07490816878546264,0.8997402374214658,0.7041015625,-63.70399330503545,-63.70399330503545,1.0,4.0,2.05718626070302,64.0,0.11170049765547518,64.0,0.2958984375,32.0,0.11909113448112486,0.07219259173110067,0.15388530453127613,27.15668724697735,0.0,0.0,4.2376156695536336e-05,0.0,0.06339449795763234,0.0,0.15388530453127613,4.76837158203125e-07,-0.00977931449430495,84.19242596626282,2.0515896429618197,-60.9889612197876,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,221.71971666100217
flat_federated,non_stationary,ppo_ltc_cfc,23,39825,159300,36864,36864,True,48,6,16567200.0,0.0,16567200.0,16.5672,0.0,16.5672,104.0,0.08048483706800685,0.08048483706800685,0.8910259361748429,0.71484375,-66.29542909647392,-66.29542909647392,1.0,4.0,2.0717814782401547,64.0,0.10414839697170941,64.0,0.28515625,32.0,0.0,0.07085593041534234,0.12621480016721492,22.38807547544274,0.0,0.0,1.32619436036325e-05,0.0,0.05122227411497391,0.0,0.12621480016721492,4.76837158203125e-07,-0.009715304059208545,89.92670649290085,2.0654396899044514,-62.77695655822754,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,217.1984377890003
flat_federated,non_stationary,ppo_ltc_cfc,41,39825,159300,36864,36864,True,48,6,16567200.0,0.0,16567200.0,16.5672,0.0,16.5672,104.0,0.03272778917380437,0.03272778917380437,0.8942619100191846,0.69580078125,-61.75102869653515,-61.75102869653515,1.0,4.0,2.059821734088473,64.0,0.11850231149962068,64.0,0.30419921875,32.0,0.09883196926132971,0.07773624024906069,0.17512831751902916,30.652337010738268,0.0,0.0,7.595717838679673e-05,0.0,0.07399554652938398,0.0,0.17512831751902916,4.76837158203125e-07,-0.009244250242772978,93.50080320239067,2.0530660189688206,-63.4787654876709,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,215.006903993999
flat_federated,non_stationary,ppo_ltc_cfc,89,39825,159300,36864,36864,True,48,6,16567200.0,0.0,16567200.0,16.5672,0.0,16.5672,104.0,0.035212116217252995,0.035212116217252995,0.8801747756933734,0.7099609375,-64.95957133874059,-64.95957133874059,1.0,4.0,2.0406786389648914,64.0,0.11163681890918001,64.0,0.2900390625,32.0,0.03992678684878108,0.07351999039893266,0.14636388273557652,25.530760221289135,0.0,0.0,6.801952015061678e-05,0.0,0.060492583844835704,0.0,0.14636388273557652,7.152557373046875e-07,-0.00815656950317134,80.4998745818933,2.0349284869929156,-59.207679748535156,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,221.9488532400028
flat_federated,non_stationary,ppo_ltc_cfc,101,39825,159300,36864,36864,True,48,6,16567200.0,0.0,16567200.0,16.5672,0.0,16.5672,104.0,0.0,0.0,0.904340207539497,0.67529296875,-59.630884376171394,-59.630884376171394,1.0,4.0,2.0463735009543598,64.0,0.1200621186839175,64.0,0.32470703125,32.0,0.0,0.0690765139746742,0.13681550008622112,24.61319292533007,0.0,0.0,4.741818625849298e-05,0.0,0.06469830683438954,0.0,0.13681550008622112,7.152557373046875e-07,-0.007432644176939599,93.60600209236145,2.041304518779119,-63.90374755859375,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,222.20922887099732
flat_federated,non_stationary,ppo_ltc_cfc,137,39825,159300,36864,36864,True,48,6,16567200.0,0.0,16567200.0,16.5672,0.0,16.5672,104.0,0.0,0.0,0.8894459104724122,0.70068359375,-63.42651457402519,-63.42651457402519,1.0,4.0,2.0699375609401613,64.0,0.11568950761652988,64.0,0.29931640625,32.0,0.0,0.08830940482533488,0.16901515332967548,30.723707732428306,0.0,0.0,3.0898725065961144e-05,0.0,0.07266043702196409,0.0,0.16901515332967548,4.76837158203125e-07,-0.007471104956493945,93.0405960480372,2.0647314091523485,-63.31948661804199,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,219.51634155699867
flat_federated,non_stationary,ppo_ltc_cfc,211,39825,159300,36864,36864,True,48,6,16567200.0,0.0,16567200.0,16.5672,0.0,16.5672,104.0,0.08048483706800685,0.08048483706800685,0.8753599573428446,0.7353515625,-68.97489879678795,-68.97489879678795,1.0,4.0,2.0502796228975058,64.0,0.10716680298721175,64.0,0.2646484375,32.0,0.0,0.0892146985899685,0.13958696199321802,24.403234535465,0.0,0.0,5.2889177828099984e-05,0.0,0.05864643464341415,0.0,0.13958696199321802,4.76837158203125e-07,-0.008113996026281711,92.55052586396536,2.044189039617777,-63.59990692138672,4.0,3.0,cpu,2.0,32.0,6.0,64.0,12.0,6.0,768.0,ppo_ltc_cfc,8.0,2.0,non_stationary,36864.0,221.16238264899948
