scenario,model,seed,eval_episodes,policy_type,is_trainable,family,dt_aware,cell_kinds,hidden_dim,num_heads,parameter_count,param_error_frac,train_steps,declared_train_steps,num_updates,total_gradient_steps,max_first_epoch_ratio_deviation,final_policy_loss,final_value_loss,final_approx_kl,final_clip_fraction,final_explained_variance,mean_eval_return_untrained,mean_eval_return_trained,wall_train_seconds,wall_eval_seconds,eval_action_histogram_entropy,mean_action_histogram_entropy,mean_background_fairness,mean_collision_rate,mean_episode_return,mean_eval_return,mean_mean_dt,mean_num_background_users_mean,mean_policy_entropy_nats,mean_sim_time,mean_spectrum_utilization,mean_steps,mean_success_rate,num_eval_episodes,std_action_histogram_entropy,std_background_fairness,std_collision_rate,std_episode_return,std_mean_dt,std_num_background_users_mean,std_policy_entropy_nats,std_sim_time,std_spectrum_utilization,std_steps,std_success_rate,untrained_eval_action_histogram_entropy,untrained_mean_action_histogram_entropy,untrained_mean_background_fairness,untrained_mean_collision_rate,untrained_mean_episode_return,untrained_mean_eval_return,untrained_mean_mean_dt,untrained_mean_num_background_users_mean,untrained_mean_policy_entropy_nats,untrained_mean_sim_time,untrained_mean_spectrum_utilization,untrained_mean_steps,untrained_mean_success_rate,untrained_num_eval_episodes,untrained_std_action_histogram_entropy,untrained_std_background_fairness,untrained_std_collision_rate,untrained_std_episode_return,untrained_std_mean_dt,untrained_std_num_background_users_mean,untrained_std_policy_entropy_nats,untrained_std_sim_time,untrained_std_spectrum_utilization,untrained_std_steps,untrained_std_success_rate,wall_seconds
bursty_irregular,constant_channel,499,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-66.86824156724073,-66.86824156724073,0.0,0.6160155879988451,0.0,0.0,0.7420677051724878,0.71630859375,-66.86824156724073,-66.86824156724073,1.3519287109375,4.8427734375,0.0,86.5234375,0.11529281297120678,64.0,0.28369140625,32.0,0.0,0.10293031776602136,0.11396007380763322,21.515120139315176,0.11378675338649358,1.5823202740425202,0.0,7.282352216735589,0.051558613512452736,0.0,0.11396007380763322,,,,,,,,,,,,,,,,,,,,,,,,,,0.6160735340017709
bursty_irregular,constant_channel,601,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-71.11232119363977,-71.11232119363977,0.0,0.5951488729988341,0.0,0.0,0.7317201170959275,0.73388671875,-71.11232119363977,-71.11232119363977,1.3848876953125,4.90087890625,0.0,88.6328125,0.10433295523927254,64.0,0.26611328125,32.0,0.0,0.10700197816338335,0.11819129819127823,20.73712354565255,0.1353727844247185,1.1935662372812452,0.0,8.663858203181984,0.0486885548724952,0.0,0.11819129819127823,,,,,,,,,,,,,,,,,,,,,,,,,,0.5952076399989892
bursty_irregular,greedy_heuristic,7,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,1.0648737031468383,1.0648737031468383,0.0,0.6262951370008523,1.7878707418140354,1.7878707418140354,0.7474586024699031,0.3408203125,1.0648737031468383,1.0648737031468383,1.3717041015625,5.05859375,0.0,87.7890625,0.29153244087163327,64.0,0.6591796875,32.0,0.10058977129770513,0.11406430886907733,0.12392343409174006,21.724514844634967,0.12378525578528153,1.240263594636111,0.0,7.922256370258018,0.0571270047068396,0.0,0.12392343409174006,,,,,,,,,,,,,,,,,,,,,,,,,,0.6263648670028488
bursty_irregular,greedy_heuristic,19,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,2.50841270847781,2.50841270847781,0.0,0.642015266999806,1.8413946557628749,1.8413946557628749,0.7938151035430843,0.337890625,2.50841270847781,2.50841270847781,1.3486328125,4.9345703125,0.0,86.3125,0.29712855121023474,64.0,0.662109375,32.0,0.13687931500077405,0.07894453343110787,0.12388110065546469,22.338278041846696,0.09982456076602043,1.3053857453928714,0.0,6.388771889025308,0.06315672919562108,0.0,0.12388110065546469,,,,,,,,,,,,,,,,,,,,,,,,,,0.6420874310024374
bursty_irregular,greedy_heuristic,23,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,4.52163037374106,4.52163037374106,0.0,0.6510999310012267,1.8034075741299178,1.8034075741299178,0.7641544453247566,0.3232421875,4.52163037374106,4.52163037374106,1.3607177734375,4.9677734375,0.0,87.0859375,0.30006306394516935,64.0,0.6767578125,32.0,0.11083004878925846,0.10194180011528002,0.0983132198474719,17.43944736801742,0.14168104374617413,1.2374241507048254,0.0,9.067586799755144,0.0482179919112752,0.0,0.0983132198474719,,,,,,,,,,,,,,,,,,,,,,,,,,0.651180367996858
bursty_irregular,greedy_heuristic,41,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-0.5259623880668949,-0.5259623880668949,0.0,0.6603283459990053,1.8361352769122838,1.8361352769122838,0.7748955043092876,0.34814453125,-0.5259623880668949,-0.5259623880668949,1.3409423828125,5.23291015625,0.0,85.8203125,0.2825568718810519,64.0,0.65185546875,32.0,0.12310701406349588,0.12005081090049419,0.11752778556685659,21.14545859988076,0.14374467383759204,1.2684812928332623,0.0,9.19965912560589,0.059756458553286235,0.0,0.11752778556685659,,,,,,,,,,,,,,,,,,,,,,,,,,0.6603951190008956
bursty_irregular,greedy_heuristic,89,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,6.296388577045387,6.296388577045387,0.0,0.6841790299986314,1.7778342507159073,1.7778342507159073,0.7229447438054054,0.31396484375,6.296388577045387,6.296388577045387,1.3563232421875,4.69970703125,0.0,86.8046875,0.3078374714349483,64.0,0.68603515625,32.0,0.12999397377712885,0.10181508391988206,0.12180733391741787,23.117811497647587,0.1300616073431117,1.3046567079485287,0.0,8.323942869959149,0.06893822818403474,0.0,0.12180733391741787,,,,,,,,,,,,,,,,,,,,,,,,,,0.6842503059997398
bursty_irregular,greedy_heuristic,101,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,3.92486270273113,3.92486270273113,0.0,0.6955676699981268,1.7958018430763283,1.7958018430763283,0.7542148578184302,0.32666015625,3.92486270273113,3.92486270273113,1.375,4.87255859375,0.0,88.0,0.29787342103707254,64.0,0.67333984375,32.0,0.1268125241220232,0.12006154646864024,0.12023126411007594,21.53583057411811,0.1547474138231749,1.1564618509402087,0.0,9.903834484683193,0.06134146672657659,0.0,0.12023126411007594,,,,,,,,,,,,,,,,,,,,,,,,,,0.6956405450000602
bursty_irregular,greedy_heuristic,137,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,8.386355750984865,8.386355750984865,0.0,0.679329274000338,1.7922521556314268,1.7922521556314268,0.7497873038048668,0.30419921875,8.386355750984865,8.386355750984865,1.381591796875,4.65625,0.0,88.421875,0.3123271732333094,64.0,0.69580078125,32.0,0.11680010034317362,0.11487294802408322,0.09663405449255918,18.583679339712106,0.1271949226031804,1.2462590505564042,0.0,8.140475046603546,0.05479022682348682,0.0,0.09663405449255918,,,,,,,,,,,,,,,,,,,,,,,,,,0.6794325400005619
bursty_irregular,greedy_heuristic,211,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,3.7398215999637916,3.7398215999637916,0.0,0.6593324290006422,1.7857032183649255,1.7857032183649255,0.7649490592187087,0.3193359375,3.7398215999637916,3.7398215999637916,1.324462890625,5.234375,0.0,84.765625,0.28997809424487686,64.0,0.6806640625,32.0,0.16177268051416735,0.10994872431570336,0.11414925398380225,20.059427411611946,0.16157000791713635,1.3326668663107446,0.0,10.340480506696727,0.05513225860966304,0.0,0.11414925398380225,,,,,,,,,,,,,,,,,,,,,,,,,,0.6594147949981561
bursty_irregular,greedy_heuristic,307,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,-1.11310732132113,-1.11310732132113,0.0,0.6168452389974846,1.7646595050099991,1.7646595050099991,0.806542818959715,0.357421875,-1.11310732132113,-1.11310732132113,1.3717041015625,5.2509765625,0.0,87.7890625,0.28739827872257084,64.0,0.642578125,32.0,0.14113704647010936,0.10847735524862638,0.11625606397994633,20.90666017760079,0.15998975892372644,1.365193509648585,0.0,10.239344571118492,0.0603112680753829,0.0,0.11625606397994633,,,,,,,,,,,,,,,,,,,,,,,,,,0.6169080239997129
bursty_irregular,greedy_heuristic,401,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,8.426196534342967,8.426196534342967,0.0,0.6114135630014061,1.8491999886037707,1.8491999886037707,0.7544308382163173,0.30224609375,8.426196534342967,8.426196534342967,1.394775390625,4.732421875,0.0,89.265625,0.3102118979458663,64.0,0.69775390625,32.0,0.10935636029295236,0.10876635263585063,0.112307871897788,21.141230963020462,0.13867166008731147,1.354172144169611,0.0,8.874986245587934,0.06306767350834905,0.0,0.112307871897788,,,,,,,,,,,,,,,,,,,,,,,,,,0.6115342110024358
bursty_irregular,greedy_heuristic,499,32,heuristic,False,heuristic,False,,0,0,0,,0,0,0,0,,,,,,,9.212791753099204,9.212791753099204,0.0,0.6251414780017512,1.7959043068991813,1.7959043068991813,0.7366491642041348,0.298828125,9.212791753099204,9.212791753099204,1.3519287109375,4.8427734375,0.0,86.5234375,0.3144992000770157,64.0,0.701171875,32.0,0.11246635727593747,0.1054552469865648,0.11807928906399875,21.41960199752224,0.11378675338649358,1.5823202740425202,0.0,7.282352216735589,0.057931067087227055,0.0,0.11807928906399875,,,,,,,,,,,,,,,,,,,,,,,,,,0.6252356500008318
