model,mean_background_fairness,std_background_fairness,mean_collision_rate,std_collision_rate,mean_episode_length,std_episode_length,mean_episode_reward,std_episode_reward,mean_mean_forward_time,std_mean_forward_time,mean_policy_entropy,std_policy_entropy,mean_spectrum_utilization,std_spectrum_utilization,mean_steps,std_steps,mean_success_rate,std_success_rate,mean_wall_clock_proxy_time,std_wall_clock_proxy_time,seed,scenario,parameter_count,train_steps,wall_clock_training_time,mean_wall_clock_episode_seconds,std_wall_clock_episode_seconds
ppo_mlp,0.9970860679944357,0.0009913045567883465,0.7317708333333334,0.06079488296837892,64.0,0.0,-62.50300185251982,9.95603662655518,0.0006876804639735686,3.0372478287180653e-05,0.37455591311057407,0.0794484804116311,0.10320981595820437,0.02777866028154071,64.0,0.0,0.2682291666666667,0.06079488296837892,64.0,0.0,89,stationary,56585,1536,3.74296174896881,0.0649885221500881,0.002514054698564689
ppo_lstm,0.9976344009240469,0.002008655989518043,0.6822916666666666,0.11073068554931927,64.0,0.0,-53.340706529747706,20.435409867817956,0.0011396997106203344,7.429407821058181e-05,0.0,0.0,0.1331889658855895,0.05531580470103318,64.0,0.0,0.3177083333333333,0.11073068554931927,64.0,0.0,7,stationary,44745,1536,5.116430585971102,0.09549528317681204,0.006096906824845696
ppo_lstm,0.9988958438237509,0.0014982826661541937,0.6822916666666666,0.05609546674098442,64.0,0.0,-55.27092718054387,10.248785188347249,0.001013211363897426,1.003771262644534e-05,0.0,0.0,0.121375411710081,0.027237206382180745,64.0,0.0,0.3177083333333333,0.056095466740984416,64.0,0.0,19,stationary,44745,1536,5.072953484021127,0.08573564830779408,0.0004822301103884777
ppo_lstm,0.9982598721981049,0.0009333307345277917,0.6328125,0.030922765851661243,64.0,0.0,-46.19156179811497,4.837403323801531,0.0010382041488507336,1.2395125273477617e-05,0.0,0.0,0.14137628631821522,0.015192608836553148,64.0,0.0,0.3671875,0.030922765851661243,64.0,0.0,23,stationary,44745,1536,4.993344289949164,0.08764178699736173,0.0007449856427836449
ppo_lstm,0.9977503518263499,0.0018295249929171239,0.6614583333333334,0.06293253111247174,64.0,0.0,-50.671972719890384,11.225455791830537,0.0009917486783403244,1.5143529769201927e-05,0.0,0.0,0.13372299843467772,0.031906917476136054,64.0,0.0,0.3385416666666667,0.06293253111247173,64.0,0.0,41,stationary,44745,1536,4.786949728033505,0.08414667400453861,0.001130513843891114
ppo_lstm,0.9974294801553091,0.0017932489570780252,0.6432291666666666,0.05368627116689662,64.0,0.0,-46.641363327313854,7.728648680512258,0.000988662924100936,4.4197713080956284e-06,0.0,0.0,0.1473693027316282,0.020931788252716885,64.0,0.0,0.3567708333333333,0.05368627116689662,64.0,0.0,89,stationary,44745,1536,4.789886234910227,0.08405156049411744,0.00034164908043430036
ppo_gru,0.9988400836785635,0.0009206565579308154,0.6223958333333334,0.08857995495674452,64.0,0.0,-44.728218361393864,14.929133396304929,0.0009991898217170576,1.700462947332292e-05,0.0,0.0,0.1537026169632251,0.03591005833549035,64.0,0.0,0.3776041666666667,0.08857995495674453,64.0,0.0,7,stationary,36425,1536,4.848103826050647,0.08337108497895922,0.0013585177119346344
ppo_gru,0.9985459049542745,0.0008437010144145628,0.71875,0.042312700024145625,64.0,0.0,-61.21007395805791,7.683824680235438,0.0010069187756016618,3.0408017209270395e-06,0.0,0.0,0.11112148357400049,0.022172160717776085,64.0,0.0,0.28125,0.042312700024145625,64.0,0.0,19,stationary,36425,1536,4.972881064983085,0.08414112784278889,0.00021896889202301952
ppo_gru,0.997619221607844,0.001333199749770501,0.6588541666666666,0.05805598127502071,64.0,0.0,-51.43645715744547,10.242786028665769,0.0010313059644128468,1.6445695724829658e-05,0.0,0.0,0.1325119115645066,0.029606573716249994,64.0,0.0,0.3411458333333333,0.058055981275020714,64.0,0.0,23,stationary,36425,1536,4.9883644439978525,0.08592727334083368,0.00148526146459948
ppo_gru,0.99859951933225,0.0005578634027379872,0.6276041666666666,0.03304317067825396,64.0,0.0,-46.482686909164016,5.318073604849495,0.001033265533502951,1.352817440556578e-05,0.0,0.0,0.13971643153733262,0.013303026835984041,64.0,0.0,0.3723958333333333,0.03304317067825396,64.0,0.0,41,stationary,36425,1536,5.141217085998505,0.08591020283832525,0.0010536506431357145
ppo_gru,0.9990729292233785,0.0002981824641509675,0.75,0.06505206248331664,64.0,0.0,-65.97761534044209,11.32531648290494,0.001086275377626104,0.00013780712110595859,0.0,0.0,0.09466631745453924,0.026658376041388286,64.0,0.0,0.25,0.06505206248331664,64.0,0.0,89,stationary,36425,1536,5.118060800945386,0.0907431673258543,0.011294401643593596
