comparison_id,family,scenario,label_a,label_b,n_pairs,mean_a,mean_b,mean_difference,ci_low,ci_high,ci_level,p_value,p_method,holm_adjusted_p,significant,cliffs_delta,cliffs_delta_magnitude,verdict,interval_contains_zero,description
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:non_stationary,F3_hybrid_decomposition,non_stationary,ppo_ltc_cfc,ppo_ltc,12,-62.952071,-63.484967,0.532896,-1.57758,2.551285,0.95,0.631836,exact_sign_flip,1.0,False,0.131944,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on non_stationary: no detectable difference (mean difference 0.533, 95% CI [-1.578, 2.551], p=0.632 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:stationary,F3_hybrid_decomposition,stationary,ppo_ltc_cfc,ppo_cfc,12,-51.611391,-52.801576,1.190185,-2.236434,4.433266,0.95,0.516602,exact_sign_flip,1.0,False,0.215278,small,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on stationary: no detectable difference (mean difference 1.190, 95% CI [-2.236, 4.433], p=0.517 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:stationary,F3_hybrid_decomposition,stationary,ppo_ltc_cfc,ppo_ltc,12,-51.611391,-51.054816,-0.556575,-2.697246,1.67684,0.95,0.638672,exact_sign_flip,1.0,False,-0.0625,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on stationary: no detectable difference (mean difference -0.557, 95% CI [-2.697, 1.677], p=0.639 (exact_sign_flip), n=12)."
F4_dt_awareness:ppo_cfc_vs_ppo_cfc_dtblind:bursty_irregular,F4_dt_awareness,bursty_irregular,ppo_cfc,ppo_cfc_dtblind,12,-67.19314,-69.770118,2.576977,-0.211778,5.373804,0.95,0.117676,exact_sign_flip,0.585938,False,0.305556,small,no_detectable_difference,True,"ppo_cfc vs ppo_cfc_dtblind on bursty_irregular: no detectable difference (mean difference 2.577, 95% CI [-0.212, 5.374], p=0.118 (exact_sign_flip), n=12)."
F4_dt_awareness:ppo_cfc_vs_ppo_cfc_dtblind:interference_heavy,F4_dt_awareness,interference_heavy,ppo_cfc,ppo_cfc_dtblind,12,-87.870247,-88.956494,1.086247,-1.172059,3.390577,0.95,0.387207,exact_sign_flip,1.0,False,0.152778,small,no_detectable_difference,True,"ppo_cfc vs ppo_cfc_dtblind on interference_heavy: no detectable difference (mean difference 1.086, 95% CI [-1.172, 3.391], p=0.387 (exact_sign_flip), n=12)."
F4_dt_awareness:ppo_cfc_vs_ppo_cfc_dtblind:irregular_dt,F4_dt_awareness,irregular_dt,ppo_cfc,ppo_cfc_dtblind,12,-50.828057,-50.820827,-0.00723,-3.975574,3.995488,0.95,0.998047,exact_sign_flip,1.0,False,0.104167,negligible,no_detectable_difference,True,"ppo_cfc vs ppo_cfc_dtblind on irregular_dt: no detectable difference (mean difference -0.007, 95% CI [-3.976, 3.995], p=0.998 (exact_sign_flip), n=12)."
F4_dt_awareness:ppo_cfc_vs_ppo_cfc_dtblind:non_stationary,F4_dt_awareness,non_stationary,ppo_cfc,ppo_cfc_dtblind,12,-62.194105,-63.427836,1.233731,-1.236613,3.380013,0.95,0.338867,exact_sign_flip,1.0,False,0.256944,small,no_detectable_difference,True,"ppo_cfc vs ppo_cfc_dtblind on non_stationary: no detectable difference (mean difference 1.234, 95% CI [-1.237, 3.380], p=0.339 (exact_sign_flip), n=12)."
F4_dt_awareness:ppo_cfc_vs_ppo_cfc_dtblind:stationary,F4_dt_awareness,stationary,ppo_cfc,ppo_cfc_dtblind,12,-52.801576,-49.689345,-3.112232,-6.365364,0.596591,0.95,0.117188,exact_sign_flip,0.585938,False,-0.451389,medium,no_detectable_difference,True,"ppo_cfc vs ppo_cfc_dtblind on stationary: no detectable difference (mean difference -3.112, 95% CI [-6.365, 0.597], p=0.117 (exact_sign_flip), n=12)."
F5_learning_check:ppo_cfc:trained_vs_untrained:bursty_irregular,F5_learning_check,bursty_irregular,ppo_cfc(trained),ppo_cfc(untrained),12,-67.19314,-65.853234,-1.339906,-4.021978,1.288712,0.95,0.366699,exact_sign_flip,1.0,False,-0.208333,small,no_detectable_difference,True,"ppo_cfc(trained) vs ppo_cfc(untrained) on bursty_irregular: no detectable difference (mean difference -1.340, 95% CI [-4.022, 1.289], p=0.367 (exact_sign_flip), n=12)."
F5_learning_check:ppo_cfc_dtblind:trained_vs_untrained:bursty_irregular,F5_learning_check,bursty_irregular,ppo_cfc_dtblind(trained),ppo_cfc_dtblind(untrained),12,-69.770118,-68.291406,-1.478712,-5.39245,2.095118,0.95,0.473633,exact_sign_flip,1.0,False,-0.1875,small,no_detectable_difference,True,"ppo_cfc_dtblind(trained) vs ppo_cfc_dtblind(untrained) on bursty_irregular: no detectable difference (mean difference -1.479, 95% CI [-5.392, 2.095], p=0.474 (exact_sign_flip), n=12)."
