scenario,model,n_seeds,mean_eval_return,mean_eval_return_std,mean_eval_return_sem,mean_eval_return_ci_low,mean_eval_return_ci_high,mean_eval_return_untrained,mean_eval_return_untrained_std,mean_eval_return_untrained_sem,mean_eval_return_untrained_ci_low,mean_eval_return_untrained_ci_high,mean_eval_return_trained,mean_eval_return_trained_std,mean_eval_return_trained_sem,mean_eval_return_trained_ci_low,mean_eval_return_trained_ci_high,mean_success_rate,mean_success_rate_std,mean_success_rate_sem,mean_success_rate_ci_low,mean_success_rate_ci_high,mean_collision_rate,mean_collision_rate_std,mean_collision_rate_sem,mean_collision_rate_ci_low,mean_collision_rate_ci_high,mean_spectrum_utilization,mean_spectrum_utilization_std,mean_spectrum_utilization_sem,mean_spectrum_utilization_ci_low,mean_spectrum_utilization_ci_high,mean_policy_entropy_nats,mean_policy_entropy_nats_std,mean_policy_entropy_nats_sem,mean_policy_entropy_nats_ci_low,mean_policy_entropy_nats_ci_high,mean_action_histogram_entropy,mean_action_histogram_entropy_std,mean_action_histogram_entropy_sem,mean_action_histogram_entropy_ci_low,mean_action_histogram_entropy_ci_high,rank_in_scenario
stationary,greedy_heuristic,12,19.781153,2.830325,0.817045,18.309007,21.391564,19.781153,2.830325,0.817045,18.319116,21.396146,19.781153,2.830325,0.817045,18.307202,21.357798,0.723104,0.015552,0.004489,0.714966,0.731608,0.276896,0.015552,0.004489,0.268229,0.284995,0.374854,0.008976,0.002591,0.370151,0.379922,0.0,0.0,0.0,0.0,0.0,1.786864,0.032121,0.009273,1.769904,1.804539,1
stationary,ppo_cfc,12,-24.977287,4.668892,1.347793,-27.347157,-22.30497,-49.493862,6.372708,1.839642,-52.976317,-46.096257,-24.977287,4.668892,1.347793,-27.381838,-22.309229,0.513021,0.027861,0.008043,0.498983,0.528932,0.486979,0.027861,0.008043,0.470744,0.501221,0.215528,0.012205,0.003523,0.209294,0.222312,0.746339,0.172281,0.049733,0.64896,0.834715,0.844472,0.163893,0.047312,0.75963,0.937842,2
stationary,ppo_mlp,12,-26.275231,6.581555,1.899931,-29.788122,-22.67766,-50.023883,5.728036,1.653542,-53.2402,-47.029277,-26.275231,6.581555,1.899931,-29.764722,-22.699828,0.504517,0.03976,0.011478,0.483521,0.525879,0.495483,0.03976,0.011478,0.473754,0.516561,0.21225,0.016357,0.004722,0.203482,0.221219,0.673587,0.172283,0.049734,0.58143,0.767877,0.802862,0.211968,0.06119,0.68817,0.917797,3
stationary,ppo_cfc_dtblind,12,-30.336481,6.348011,1.832513,-33.820047,-27.008348,-50.43476,6.224098,1.796742,-53.868821,-47.133261,-30.336481,6.348011,1.832513,-33.835026,-27.050925,0.480509,0.038866,0.01122,0.458903,0.500692,0.519491,0.038866,0.01122,0.499146,0.540854,0.201373,0.016687,0.004817,0.19214,0.210291,0.835343,0.155667,0.044937,0.750684,0.919209,0.761774,0.133541,0.03855,0.689405,0.832965,4
stationary,ppo_transformer,12,-31.614015,8.080069,2.332515,-36.100813,-27.402515,-52.229704,2.525899,0.729164,-53.571758,-50.852724,-31.614015,8.080069,2.332515,-36.161981,-27.4031,0.470907,0.048222,0.01392,0.443766,0.495768,0.529093,0.048222,0.01392,0.50411,0.556235,0.199334,0.021677,0.006258,0.18722,0.21069,1.077796,0.223614,0.064552,0.955907,1.198284,0.749786,0.271059,0.078248,0.595052,0.887672,5
stationary,ppo_gru,12,-33.712423,9.798353,2.828541,-39.51425,-29.052783,-49.107929,5.56697,1.607046,-52.151292,-46.20917,-33.712423,9.798353,2.828541,-39.512677,-29.043018,0.457845,0.058315,0.016834,0.423217,0.485881,0.542155,0.058315,0.016834,0.514037,0.576742,0.190809,0.024145,0.00697,0.176392,0.202476,1.01945,0.193756,0.055933,0.91277,1.123107,0.653179,0.268445,0.077493,0.50071,0.788331,6
stationary,random_policy,12,-50.902177,2.602752,0.75135,-52.36229,-49.528129,-50.902177,2.602752,0.75135,-52.352104,-49.525586,-50.902177,2.602752,0.75135,-52.335728,-49.519622,0.35376,0.015295,0.004415,0.345418,0.361898,0.64624,0.015295,0.004415,0.638021,0.654582,0.149635,0.00745,0.002151,0.14554,0.153599,0.0,0.0,0.0,0.0,0.0,2.024808,0.004371,0.001262,2.022442,2.027151,7
stationary,ppo_ltc_cfc,12,-51.450616,2.999142,0.865778,-53.052198,-49.8231,-49.807062,2.771849,0.800164,-51.320749,-48.330549,-51.450616,2.999142,0.865778,-53.062373,-49.831402,0.351359,0.017236,0.004976,0.342041,0.360758,0.648641,0.017236,0.004976,0.639282,0.657674,0.146772,0.007766,0.002242,0.142605,0.150947,0.711534,0.386266,0.111505,0.511019,0.926258,0.0,0.0,0.0,0.0,0.0,8
stationary,constant_channel,12,-51.46129,3.320556,0.958562,-53.225302,-49.650892,-51.46129,3.320556,0.958562,-53.196798,-49.637503,-51.46129,3.320556,0.958562,-53.235778,-49.642833,0.351603,0.018133,0.005235,0.341838,0.361532,0.648397,0.018133,0.005235,0.638306,0.658081,0.146295,0.008379,0.002419,0.141829,0.150814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
stationary,ppo_ltc,12,-52.046566,3.614106,1.043303,-54.065099,-50.144214,-50.577064,3.201068,0.924069,-52.328029,-48.93819,-52.046566,3.614106,1.043303,-54.054035,-50.123764,0.347941,0.019289,0.005568,0.337076,0.358154,0.652059,0.019289,0.005568,0.642049,0.662882,0.147242,0.009249,0.00267,0.142177,0.152168,0.3512,0.263216,0.075984,0.210189,0.49219,0.0,0.0,0.0,0.0,0.0,10
