comparison_id,family,scenario,label_a,label_b,n_pairs,mean_a,mean_b,mean_difference,ci_low,ci_high,ci_level,p_value,p_method,holm_adjusted_p,significant,cliffs_delta,cliffs_delta_magnitude,verdict,interval_contains_zero,description
F5_liquid_vs_conventional:ppo_ltc_cfc_vs_ppo_transformer:irregular_dt,F5_liquid_vs_conventional,irregular_dt,ppo_ltc_cfc,ppo_transformer,12,-50.318939,-34.924021,-15.394918,-21.039016,-8.938816,0.95,0.001953,exact_sign_flip,0.007812,True,-0.875,large,favours_b,False,"ppo_ltc_cfc scored 15.395 lower than ppo_transformer on irregular_dt (95% CI [-21.039, -8.939], p=0.002 (exact_sign_flip), n=12, Cliff's delta -0.875 [large])."
F5_liquid_vs_conventional:ppo_ltc_vs_ppo_gru:irregular_dt,F5_liquid_vs_conventional,irregular_dt,ppo_ltc,ppo_gru,12,-49.658275,-34.783379,-14.874896,-20.20117,-9.502491,0.95,0.000977,exact_sign_flip,0.006836,True,-0.875,large,favours_b,False,"ppo_ltc scored 14.875 lower than ppo_gru on irregular_dt (95% CI [-20.201, -9.502], p=0.001 (exact_sign_flip), n=12, Cliff's delta -0.875 [large])."
F5_liquid_vs_conventional:ppo_ltc_vs_ppo_mlp:irregular_dt,F5_liquid_vs_conventional,irregular_dt,ppo_ltc,ppo_mlp,12,-49.658275,-26.667245,-22.99103,-26.110194,-20.032579,0.95,0.000488,exact_sign_flip,0.004395,True,-1.0,large,favours_b,False,"ppo_ltc scored 22.991 lower than ppo_mlp on irregular_dt (95% CI [-26.110, -20.033], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F5_liquid_vs_conventional:ppo_ltc_vs_ppo_transformer:irregular_dt,F5_liquid_vs_conventional,irregular_dt,ppo_ltc,ppo_transformer,12,-49.658275,-34.924021,-14.734254,-19.488336,-10.071236,0.95,0.000977,exact_sign_flip,0.006836,True,-0.833333,large,favours_b,False,"ppo_ltc scored 14.734 lower than ppo_transformer on irregular_dt (95% CI [-19.488, -10.071], p=0.001 (exact_sign_flip), n=12, Cliff's delta -0.833 [large])."
F6_within_conventional:ppo_gru_vs_ppo_mlp:irregular_dt,F6_within_conventional,irregular_dt,ppo_gru,ppo_mlp,12,-34.783379,-26.667245,-8.116134,-12.832768,-2.987245,0.95,0.013672,exact_sign_flip,0.027344,True,-0.597222,large,favours_b,False,"ppo_gru scored 8.116 lower than ppo_mlp on irregular_dt (95% CI [-12.833, -2.987], p=0.014 (exact_sign_flip), n=12, Cliff's delta -0.597 [large])."
F6_within_conventional:ppo_transformer_vs_ppo_mlp:irregular_dt,F6_within_conventional,irregular_dt,ppo_transformer,ppo_mlp,12,-34.924021,-26.667245,-8.256776,-14.718369,-1.650867,0.95,0.036133,exact_sign_flip,0.036133,True,-0.625,large,favours_b,False,"ppo_transformer scored 8.257 lower than ppo_mlp on irregular_dt (95% CI [-14.718, -1.651], p=0.036 (exact_sign_flip), n=12, Cliff's delta -0.625 [large])."
F7_vs_greedy_baseline:ppo_cfc_dtblind_vs_greedy_heuristic:irregular_dt,F7_vs_greedy_baseline,irregular_dt,ppo_cfc_dtblind,greedy_heuristic,12,-27.708113,21.077417,-48.78553,-51.661417,-45.263162,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_cfc_dtblind scored 48.786 lower than greedy_heuristic on irregular_dt (95% CI [-51.661, -45.263], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F7_vs_greedy_baseline:ppo_cfc_vs_greedy_heuristic:irregular_dt,F7_vs_greedy_baseline,irregular_dt,ppo_cfc,greedy_heuristic,12,-27.233834,21.077417,-48.311252,-51.278597,-45.253924,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_cfc scored 48.311 lower than greedy_heuristic on irregular_dt (95% CI [-51.279, -45.254], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F7_vs_greedy_baseline:ppo_gru_vs_greedy_heuristic:irregular_dt,F7_vs_greedy_baseline,irregular_dt,ppo_gru,greedy_heuristic,12,-34.783379,21.077417,-55.860796,-60.419333,-51.708943,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_gru scored 55.861 lower than greedy_heuristic on irregular_dt (95% CI [-60.419, -51.709], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F7_vs_greedy_baseline:ppo_ltc_cfc_vs_greedy_heuristic:irregular_dt,F7_vs_greedy_baseline,irregular_dt,ppo_ltc_cfc,greedy_heuristic,12,-50.318939,21.077417,-71.396356,-75.137824,-68.008127,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_ltc_cfc scored 71.396 lower than greedy_heuristic on irregular_dt (95% CI [-75.138, -68.008], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
